,Accidents,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,clusterID
count,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0,305.0
mean,23.121311475409836,12213.12786885246,16188.865573770492,4.810375535443976,0.9200883894786885,0.0086987248,1246.6489068570493,691.332493672295,1301.3298931357376,824.2122701034426,0.0
std,7.718422825030604,14262.501001892708,20258.050880216062,4.39236572830652,0.1411103130959017,0.029785007484722795,583.7610529773409,328.94131787609217,499.435146875268,371.594929503511,0.0
min,1.0,0.0,0.0,1.0,0.25,0.0,185.3171334,39.963074,304.8387705,50.34919975,0.0
max,53.0,84441.0,87676.0,31.0,1.0,0.25,2591.08466,1663.711651,2787.674248,1743.375234,0.0
