,Accidents,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,clusterID
count,876.0,876.0,876.0,876.0,876.0,876.0,876.0,876.0,876.0,876.0,876.0
mean,24.328767123287673,8125.140410958904,6124.079908675799,4.8475954508347465,0.9860684036204523,0.0014168488059360732,193.73127870493266,1692.4051125386989,256.8049395309795,1619.8920488946344,1.0
std,10.657649972457378,13717.765382690723,9912.98931096577,4.485870849336939,0.05408714093190117,0.012775614916850996,212.15117063380748,366.1724209946438,268.39385179136605,378.92202999311485,0.0
min,1.0,0.0,0.0,1.0,0.555555556,0.0,0.0,228.8403003,0.0,549.9682785,1.0
max,56.0,129847.0,47272.0,28.0,1.0,0.153846154,1045.705178,2893.812997,1264.872215,2874.811561,1.0
