,Accidents,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,clusterID
count,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0
mean,13.531722054380664,13321.308157099698,92683.26888217522,26.444108761329304,0.7082411634592145,0.1202293921873112,181.0038460778308,2949.6143889003024,275.84407055773715,2614.321681507553,2.0
std,4.815510583215199,12121.675262078954,15716.640250024668,9.02214716298506,0.18628839170374253,0.1291198278513803,187.99190269895323,471.6737414653117,232.33389032353293,527.8537900702256,0.0
min,4.0,0.0,46010.0,7.0,0.222222222,0.0,0.0,1295.479998,0.0,1461.048297,2.0
max,33.0,61044.0,133150.0,47.0,1.0,0.523809524,710.2949628,4054.318085,1225.836748,3791.843675,2.0
