,Accidents,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,clusterID
count,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0,198.0
mean,36.494949494949495,9312.29292929293,11794.121212121212,25.086689587426324,0.6014346887525253,0.16249327435353533,147.70589766864143,1627.4687910878788,281.0253702325757,1653.355477141414,3.0
std,10.052020770523724,14084.492703890319,16601.20388593521,8.584879877125116,0.17011731666642016,0.143802977144307,200.12397316429104,439.0098187336913,337.1199312579259,340.204330009244,0.0
min,17.0,0.0,0.0,1.0,0.142857143,0.0,0.0,447.0198053,0.0,1009.555655,3.0
max,64.0,57951.0,71729.0,44.0,1.0,0.571428571,914.5426877,2668.230458,1415.515071,2646.258282,3.0
