,Accidents,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,clusterID
count,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0,331.0
mean,17.555891238670696,28785.540785498488,66828.91540785499,10.129909365558913,0.9112955630906345,0.019996063867069484,418.633030044432,2224.306652250755,389.87762801395166,2113.5021079909366,4.0
std,9.39789080335431,34740.45783399747,20556.333524453727,7.45804708723382,0.12248965323623186,0.04305079981969633,328.40888963980325,518.3987759226721,269.06671548074667,469.96208790877466,0.0
min,1.0,0.0,10949.0,1.0,0.428571429,0.0,0.0,1009.548887,0.0,989.885284,4.0
max,42.0,154058.0,130801.0,37.0,1.0,0.243243243,1670.911709,3792.661799,1304.285639,3357.704698,4.0
