,Accidents,UrbanDensification,UrbanParks,OldTown,Bars,HN_noise_40,HN_noise_60,strOri_0,strOri_1,strOri_2,strOri_3,X,Y,clusterID
1821,38,21566,15477,27560,20.0,0.588235294,0.058823529,552.9343653,1516.706923,507.0354313,1747.82574,430067.1749,4581698.174,3
1822,12,20088,38992,84678,10.0,0.774647887,0.070422535,325.041119,3742.856402,530.202126,3370.256214,431373.109,4581780.563,2
1823,17,0,18046,72467,43.0,0.842105263,0.026315789,613.1453192,3107.818694,476.1060243,2169.705494,430864.7228,4581448.893,2
1824,14,0,33692,69596,20.0,1.0,0.0,631.5994297,2766.323718,673.3725865,2170.859716,430916.459,4581665.897,4
1825,9,4650,1130,63070,26.0,0.78,0.1,187.7292709,2762.657315,271.6122329,2559.469731,431466.7654,4581408.278,2
1826,24,79266,11830,48035,5.0,1.0,0.0,71.42225219,2288.159092,294.1060065,1980.302715,428712.6242,4583619.224,4
1827,30,60207,0,18377,1.0,1.0,0.0,31.75709734,2199.515102,115.4393625,2372.231604,429519.2451,4584724.682,1
1828,12,0,14049,104811,39.0,0.56097561,0.170731707,138.0328075,3519.869112,220.4974295,2850.463389,431238.5896,4581296.624,2
1829,47,92099,1450,17195,17.0,1.0,0.0,82.47181355,1824.515773,509.633229,1412.784513,429944.7748,4583169.556,1
1830,8,0,8108,98114,29.0,0.933333333,0.0,572.6171872,3335.611247,404.4717922,3271.213404,431125.077,4581557.598,2
1831,12,65949,59946,0,1.0,1.0,0.0,749.005837,1831.002013,665.1736141,1358.425956,428629.1892,4584803.508,1
1832,27,29365,1955,0,8.0,0.769230769,0.153846154,107.1127604,1747.518528,684.8364272,1039.392843,428300.3797,4582834.373,1
1833,28,71424,15576,10589,4.0,1.0,0.0,2052.718944,509.1755389,1356.28214,646.6313801,427482.188,4580702.189,0
1834,12,13237,21329,97515,24.0,0.901639344,0.032786885,267.4153417,3921.210923,412.4113023,3511.905863,431269.4261,4581606.098,2
1835,25,23194,21065,77072,18.0,0.571428571,0.214285714,247.245619,1811.992195,665.629363,1461.048297,430523.5776,4581739.452,2
1836,20,0,19786,86510,25.0,0.766666667,0.033333333,102.2225981,2722.968724,709.985508,1756.675828,430455.0956,4581367.105,2
1837,8,61361,57594,0,1.0,1.0,0.0,823.5286947,1469.295827,720.1889949,1535.363468,428629.3561,4584839.237,1
1838,11,20837,32989,67807,11.0,1.0,0.0,852.1528143,2164.271892,680.8860798,2141.49084,430944.212,4581856.359,4
1839,16,25351,10479,0,1.0,1.0,0.0,41.72125457,1443.205059,429.6257149,1525.495484,427230.7345,4582855.127,1
1840,36,0,2137,0,1.0,1.0,0.0,265.6639501,1511.168212,1087.02995,1519.354676,427612.4935,4583262.546,1
1841,47,134607,3461,9034,7.0,1.0,0.0,44.90825256,1640.717692,446.5145087,1431.739174,430796.6365,4583442.384,1
1842,29,85938,11830,55348,5.0,1.0,0.0,71.42225219,2315.169392,282.0193625,1996.053087,428705.0776,4583646.703,4
1843,44,82634,30612,6242,7.0,1.0,0.0,44.90825256,1781.982552,500.0874551,1288.115205,430512.8773,4583352.38,1
1844,36,27856,0,0,30.0,0.4,0.1,51.64993583,1571.16838,525.6802376,1354.881804,429097.6593,4582897.717,3
1845,12,24115,4364,68535,14.0,0.875,0.035714286,371.9961501,3308.143338,358.3129776,3524.459937,431250.2734,4581763.162,2
1846,42,67308,17972,9597,3.0,1.0,0.0,89.06562977,1482.933489,460.5325278,1549.374639,431371.2917,4583629.563,1
1847,9,4650,26742,75242,26.0,0.821428571,0.053571429,255.4012758,3181.577344,488.4315321,2702.098145,431437.8763,4581446.74,2
1848,12,0,2318,89963,26.0,0.41025641,0.358974359,8.230774598,2810.327249,9.758196242,2967.260518,429465.1402,4583579.979,2
1849,1,0,60987,88482,1.0,0.94,0.02,1146.148637,2496.86904,546.3674154,1840.950656,431431.0757,4582136.82,4
1850,10,0,1834,105792,17.0,0.774193548,0.096774194,6.488652992,2940.880635,0.0,2557.071613,429526.6903,4584091.387,2
1851,36,111954,13560,58178,3.0,0.863636364,0.045454545,280.7479724,2674.63445,314.517233,2070.738322,428905.0638,4583620.115,4
1852,21,61801,4696,0,6.0,1.0,0.0,0.0,1734.167799,0.0,1574.62858,428771.125,4581594.456,1
1853,15,0,19288,100953,39.0,0.260869565,0.52173913,41.12550677,2265.437427,238.6373792,2202.85991,430698.0912,4581129.506,2
1854,42,45884,0,2450,33.0,0.727272727,0.0,69.20094746,1535.580637,545.3748507,1195.849034,429379.1164,4582987.572,3
1855,14,52844,11356,69266,18.0,1.0,0.0,0.0,2073.432558,8.78401446,2947.268775,430008.1202,4583558.089,4
1856,10,950,8263,104964,29.0,0.964912281,0.0,318.4287761,3739.461519,467.4825103,3182.327494,431321.2705,4581492.335,2
1857,7,0,1535,0,1.0,1.0,0.0,280.7521009,1379.280154,287.5539505,1452.369272,427402.818,4584741.946,1
1858,8,199,4839,106087,26.0,0.814814815,0.111111111,20.59489948,3055.867569,13.6227014,2611.676656,429743.1226,4583553.344,2
1859,22,23371,4992,0,1.0,1.0,0.0,91.73149124,1691.021613,530.6485815,1249.970649,427128.2287,4583178.824,1
1860,14,70677,56318,0,1.0,1.0,0.0,714.211077,2137.569054,666.0512251,1360.429192,428623.7234,4584767.099,1
1861,13,20088,32624,84083,15.0,0.842857143,0.042857143,303.7873356,3613.61238,512.8409197,3492.905866,431339.1672,4581739.606,2
1862,10,9354,31374,95640,25.0,0.9,0.033333333,306.8033354,3802.450888,488.8585615,3476.43711,431328.4157,4581553.748,2
1863,24,0,15822,55459,35.0,0.666666667,0.095238095,6.262314421,2233.033768,127.3626126,2141.412199,431354.6108,4581132.148,2
1864,10,8065,38560,90697,11.0,0.666666667,0.115942029,263.4346634,3321.527643,459.2797175,3037.048669,431466.162,4581766.771,2
1865,13,0,2318,94860,24.0,0.357142857,0.357142857,20.59489948,3030.012149,18.043292,2877.484619,429509.4079,4583685.705,2
1866,28,15296,26114,70768,17.0,0.875,0.0,597.8180637,1587.497505,757.9408294,1808.081636,430133.8229,4581534.334,4
1867,10,0,1918,93793,11.0,0.772727273,0.136363636,0.0,2589.594308,4.759639279,2227.328835,429414.1899,4584281.598,2
1868,12,66922,2108,1686,1.0,1.0,0.0,1163.334816,519.389625,454.6409792,566.6008329,428155.8254,4584587.988,0
